s,tau,mu1,mu2,gamma1,gamma2
0.015210335511152666,0.9375651239384585,-1.3787554791582337,-0.6660863047592471,-0.26343111537850056,0.33891409275502615
0.022515600988607935,0.9034997663397206,-1.3669971774723535,-0.5823155557500483,-0.25685301854028375,0.3619337080664495
0.014282872935456114,0.9415459776456596,-1.3640509512715084,-0.6525132322575123,-0.3875449823050314,0.3979743036453912
0.019932748552060085,0.8801889429020092,-1.3577600115578057,-0.6711802696754662,-0.19738824479440903,0.2554258966193388
0.02880972287707347,0.9264155069531758,-1.3891256511484205,-0.5322758588105504,-0.41749647689074937,0.2201474229820553
0.018681116525638187,0.9348777693503812,-1.2785605282479118,-0.6060371125853895,-0.34622898626493065,0.3001379836247622
0.017632846181624657,0.9780771850241088,-1.3443535537052527,-0.5537798207233506,-0.21634909411301692,0.29967566653345395
0.024785901713625286,0.9573395989954487,-1.3704804036970721,-0.5620049587300269,-0.3074543054563979,0.3306816566362534
0.021542117361395406,0.9845413995788695,-1.3450328216444356,-0.5968087747026457,-0.27381935308728467,0.2621593584596156
0.01756457049093216,0.874717478466623,-1.3554945812079657,-0.6420764003092722,-0.18594898190858095,0.31922897073119194
0.0274246151437693,0.9218356134437868,-1.446697807512056,-0.7130215615822606,-0.2197697134061603,0.3221938693193346
0.027073978605435547,0.8847646511234329,-1.358114299138223,-0.6135271607781474,-0.3428953141658031,0.3495668586765752
0.014871254679814865,0.9076630086133335,-1.405256675866582,-0.6645910511257241,-0.24560802831590217,0.3584187819606807
0.02469175138073773,0.8673542914033419,-1.3883944386508864,-0.7180610610600519,-0.3086465525824518,0.3504161134440823
0.01951935116601259,0.8694282797663886,-1.4221443578599713,-0.6436008653395318,-0.29241125077451385,0.29698254571463395
0.01724544172788561,0.8650050296753313,-1.4824480963452955,-0.6236519416174473,-0.24678268791247196,0.304027836262247
0.021653400449120033,0.8634117293332969,-1.454288587753208,-0.6771403224718591,-0.3476800758443743,0.23507466346124728
